mirna,protein,cor_score,pval,adj_pval,de_mirna,de_prot,both_de,is_target
hsa-miR-5193,RAB11B,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-548aq-5p,IGKV3-15,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-570-3p,CMIP,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-570-3p,MME,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-95-3p,PON1,0.9515,0,0.0281,TRUE,FALSE,FALSE,FALSE
hsa-miR-3138,CP,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-4449,RAB8B,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3140-3p,FAM110D,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-3140-3p,PDCD6,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-3140-3p,SLC2A3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-579-3p,CPNE3,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-579-3p,IGHV3-9,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-579-3p,JCHAIN,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-579-3p,LAMP1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-2277-5p,EMILIN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-2277-5p,SOD3,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-146a-5p,PTPN6,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-340-3p,DDAH2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-877-5p,APOC2,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-5004-5p,EXOC3L4,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-5004-5p,LARP7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
